S.No,State,College Name,University,Management,Estb,Seats
1,Andaman & Nicobar Islands,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,2015,114
1,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,State Govt.,2014,175
2,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2018,125
3,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,State Govt.,1923,250
4,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,State Govt.,2000,200
5,Andhra Pradesh,"Government Medical College, Eluru",Dr. YSR University of Health Sciences,State Govt.,2023,150
6,Andhra Pradesh,"GMC, Rajiv Gandhi Institute of Medical Sciences, Kadapa",Dr. YSR University of Health Sciences,State Govt.,2006,175
7,Andhra Pradesh,"Government Medical College, Machilipatnam",Dr. YSR University of Health Sciences,State Govt.,2023,150
8,Andhra Pradesh,"Government Medical College, Nandyal",Dr. YSR University of Health Sciences,State Govt.,2023,150
9,Andhra Pradesh,"GMC, Rajiv Gandhi Institute of Medical Sciences, Ongole",Dr. YSR University of Health Sciences,State Govt.,2011,150
10,Andhra Pradesh,"Government medical College, Paderu, Visakhapatnam",Dr. YSR University of Health Sciences,State Govt.,2024,50
11,Andhra Pradesh,"Government Medical College, Rajamandravaram",Dr. YSR University of Health Sciences,State Govt.,2023,150
12,Andhra Pradesh,"Government Medical College, Vizianagaram",Dr. YSR University of Health Sciences,State Govt.,2023,150
13,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,State Govt.,1980,175
14,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,State Govt.,1946,250
15,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,State Govt.,1957,250
16,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,State Govt.,2008,200
17,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,State Govt.,1958,250
18,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,State Govt.,1960,240
19,Andhra Pradesh,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",State Govt.,2014,175
1,Arunachal Pradesh,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun","Rajiv Gandhi University, Arunanchal Pradesh",State Govt.,2018,100
1,Assam,"All India Institute of Medical Sciences, Guwahati","Statutory Autonomous, AIIMS (Guwahati)",Central Govt.,2020,100
2,Assam,"Assam Medical College, Dibrugarh",Srimanta Shankardeva University of Health Sciences,State Govt.,1947,250
3,Assam,"Dhubri Medical College, Dhubri",Srimanta Shankardeva University of Health Sciences,State Govt.,2022,100
4,Assam,"Diphu Medical College & Hospital, Diphu",Srimanta Shankardeva University of Health Sciences,State Govt.,2020,100
5,Assam,"ESIC Medical College and Hospital, Beltola",Srimanta Shankardeva University of Health Sciences,Central Govt.,2025,50
6,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam",Srimanta Shankardeva University of Health Sciences,State Govt-Society,2012,125
7,Assam,"Gauhati Medical College, Guwahati",Srimanta Shankardeva University of Health Sciences,State Govt.,1960,250
8,Assam,"Jorhat Medical College & Hospital , Jorhat",Srimanta Shankardeva University of Health Sciences,State Govt.,2010,125
9,Assam,Kokrajhar Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
10,Assam,Lakhimpur Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2021,100
11,Assam,Nagaon Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
12,Assam,"Nalbari Medical College, Nalbari",Srimanta Shankardeva University of Health Sciences,State Govt.,2023,100
13,Assam,"Silchar Medical College, Silchar",Srimanta Shankardeva University of Health Sciences,State Govt.,1968,150
14,Assam,"Tezpur Medical College & Hospital, Tezpur",Srimanta Shankardeva University of Health Sciences,State Govt.,2014,125
15,Assam,"Tinsukia Medical College, Luhari",Srimanta Shankardeva University of Health Sciences,State Govt.,2024,100
16,Assam,Pragjyotishpur Medical College,Srimanta Shankardeva University of Health Sciences,State Govt.,2025,100
1,Bihar,"All India Institute of Medical Sciences, Patna","Statutory Autonomous, AIIMS(New Delhi)",Central Govt.,2012,125
2,Bihar,"Anugrah Narayan Magadh Medical College, Gaya","Aryabhatta Knowledge University, Patna",State Govt.,1970,120
3,Bihar,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda","Aryabhatta Knowledge University, Patna",State Govt.,2013,120
4,Bihar,"Darbhanga Medical College, Lehriasarai","Aryabhatta Knowledge University, Patna",State Govt.,1946,120
5,Bihar,"Employees State Insurance Corporation Medical College, Patna","Aryabhatta Knowledge University, Patna",Central Govt.,2021,100
6,Bihar,"Government Medical College, Bettiah","Aryabhatta Knowledge University, Patna",State Govt.,2013,120
7,Bihar,"Government Medical College, Purnea","Aryabhatta Knowledge University, Patna",State Govt.,2023,100
8,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna","Indira Gandhi Instt of Medical Sciences (Deemed University), Patna",State Govt.,2011,150
9,Bihar,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura","Aryabhatta Knowledge University, Patna",State Govt.,2020,100
10,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur","Aryabhatta Knowledge University, Patna",State Govt.,1971,120
11,Bihar,"Nalanda Medical College, Patna","Aryabhatta Knowledge University, Patna",State Govt.,1970,150
12,Bihar,"Patna Medical College, Patna","Aryabhatta Knowledge University, Patna",State Govt.,1925,200
13,Bihar,"Shri Krishna Medical College, Muzzafarpur","Aryabhatta Knowledge University, Patna",State Govt.,1970,120
1,Chandigarh,"Government Medical College, Chandigarh",Punjab University,Govt.,1991,150
1,Chattisgarh,"All India Institute of Medical Sciences, Raipur","Statutory Autonomous, AIIMS(Raipur)",Central Govt.,2012,125
,Chattisgarh,"Chandulal Chandrakar Memorial Medical College, Durg","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",State Govt.,2013,200
